id,symptoms,preferences,iso_e_super,hedione,galaxolide,ambroxan,linalool,limonene,geraniol,vanillin,ethanol
1,skin,"sweet,floral,citrus",0.03660630143605902,0.04216426667511822,0.008472052448440641,0.09931408398171261,0.06676175390475375,0.050420925415991795,0.08127778646767224,0.07032106461396878,0.5446617650562829
2,,floral,0.0110079717714376,0.015815516222636276,0.027061396684916375,0.08939528403032004,0.08919777655315175,0.04433043184515377,0.057153617209572585,0.11519530843611234,0.5508426972466993
3,"sinus,skin","woody,floral,sweet",0.05317726858401432,0.08748666247242831,0.009213878042333928,0.016801297386328008,0.10781774617146629,0.01906509093449169,0.07251944145787018,0.09724051344685279,0.5366781015042145
4,,sweet,0.022739681481082,0.038234630844332464,0.09648992098378929,0.011886080809417459,0.026931552621283047,0.0708093972167345,0.1089422748508351,0.08138456150363721,0.5425818996888888
5,,"floral,woody,sweet",0.08583063668461431,0.08095531671598695,0.08408919877809784,0.10693072594924864,0.09501127650013813,0.009066688637812834,0.050296972635961563,0.0262622274258973,0.46155695667224245
6,"breathing,nausea,sinus",citrus,0.07055499669115697,0.08896280612525465,0.08821560397031362,0.021167849586295064,0.04281889200383735,0.063049107092631,0.06475122474775798,0.068720624405229,0.4917588953775244
7,"sinus,skin,breathing","sweet,floral",0.015603596792940102,0.02264492075774,0.022061495235775812,0.03955500311433634,0.1339063902472948,0.036592745145243154,0.03360385557753993,0.03954184322052615,0.6564901499086037
8,"breathing,nausea",citrus,0.047274896611328936,0.05867788700914548,0.0265338496037834,0.03775947457399848,0.09840193152905241,0.08803778447315791,0.0657815547179854,0.07690285636271098,0.5006297651188371
9,,woody,0.06496236102706635,0.09062428379802662,0.07509885916254552,0.027038733811297407,0.07828917198304758,0.053327606262912636,0.019622703998894164,0.02950378127356623,0.5615324986826434
10,,"woody,floral,sweet",0.03063376705993608,0.065247341978105,0.09249276104004568,0.06609848008650729,0.09346062279030275,0.03224811299278002,0.08943152828735465,0.030691812544641064,0.4996955732203275
11,"sinus,headache","woody,floral,fresh",0.07416775640963383,0.02598956179024176,0.0823808953161315,0.10109759742767901,0.07447738859804878,0.06772286916197667,0.06085093445181052,0.05803379320920187,0.4552792036352761
12,"nausea,headache,sinus",woody,0.028905382537876653,0.037484692672498876,0.06421043601042617,0.09511503913760161,0.06130783109498113,0.04975423592608698,0.08893684609253606,0.023593692776892217,0.5506918437511003
13,sinus,"woody,floral,citrus",0.049695488827387314,0.08787060512175836,0.046116551243498054,0.05020851295120282,0.06409873677011389,0.025178018908624582,0.08836410551899251,0.06813395351221081,0.5203340271462117
14,,"sweet,citrus",0.06121580431241117,0.055997143280804976,0.04551367255296961,0.1131684523028394,0.07973066882164745,0.044208928079800244,0.08148957883547343,0.015990933241627266,0.5026848185724265
15,"sinus,skin","citrus,floral",0.015111929754121317,0.08611300278257125,0.012005648292068224,0.06163238146617434,0.12011247071905175,0.032483629648032565,0.07625870783919227,0.06404783268056989,0.5322343968182184
16,sinus,"floral,fresh",0.06887338451522579,0.055679338816198194,0.02322817863538474,0.08136327532111795,0.06524039059700222,0.033561096904829904,0.052216645315923585,0.010581181626473634,0.6092565082678439
17,"nausea,sinus","fresh,floral,woody",0.026734922103915357,0.011902530468996638,0.015230268138020432,0.010084681821550088,0.03646290206235346,0.07375507281275671,0.11249150900184074,0.04165867534734592,0.6716794382432206
18,sinus,sweet,0.11269595139572883,0.027326434897767076,0.021696393611040896,0.06691364347528526,0.0406231292926451,0.07910161794977522,0.03782826077386188,0.05947895582386838,0.5543356127800273
19,,woody,0.06619261135202262,0.07597795959184533,0.03152597135782521,0.0764909960883307,0.07249560972310452,0.08974638006853852,0.06907823950015528,0.025433817562081632,0.4930584147560962
20,"sinus,nausea","sweet,citrus,fresh",0.04983243786025433,0.11085134710521585,0.06742329334986553,0.058326918983449404,0.07924822619528936,0.05933433182881396,0.0636961379319158,0.009223481038340949,0.5020638257068548
21,"nausea,skin",floral,0.09679569495701047,0.05321213728861161,0.05389220749403633,0.05196919559378042,0.056758641124208434,0.08698777314581309,0.051634616727349085,0.03971320453966598,0.5090365291295246
22,"headache,sinus",fresh,0.010232853068522434,0.036909601769237924,0.014927465624473075,0.059067908723129135,0.05510106363500919,0.05081862178117972,0.13262683217411497,0.03134713960136387,0.6089685136229697
23,sinus,"sweet,fresh,citrus",0.04021360970840298,0.05904860964183243,0.058361799655042734,0.08146357769472834,0.11653313639854271,0.05313652306177373,0.0356554576351124,0.04123941958771083,0.5143478666168537
24,"skin,nausea,sinus","floral,fresh",0.0582430025564722,0.015044376312840373,0.10087428385886274,0.05943278665539062,0.029981807976132497,0.008439254305581163,0.06761397835333856,0.07228400517984593,0.5880865048015359
25,"sinus,nausea,skin","fresh,sweet",0.026764618309571785,0.10124596816732133,0.09545874651980973,0.021862229958911038,0.054957445455175814,0.04975174043857348,0.09424835194694649,0.04110181249764018,0.5146090867060502
26,,sweet,0.08707408945095267,0.047127086579906115,0.09173283837663682,0.07997692061844719,0.026446876129458428,0.040801023765043,0.03351370446762411,0.078475915081097,0.5148515455308346
27,"headache,nausea","floral,sweet,citrus",0.05381182368875082,0.06399784537077001,0.021657210799498613,0.08105104665872379,0.06070017953703143,0.08739130308442047,0.09213389419679602,0.033414476800900345,0.5058422198631085
28,nausea,floral,0.057740600842556423,0.11675333063340013,0.0529429944759235,0.04339041925619647,0.11286373598470958,0.028434741641925707,0.07218170799838947,0.04275925554915707,0.4729332136177416
29,,"floral,citrus",0.05425232935088388,0.08655859444038123,0.04219834885280431,0.02481805485847211,0.09943211083823086,0.07929599354160456,0.029950424713845708,0.07066076777178436,0.512833375631993
